Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Tactical 100-0 Model,U.S. Equity,SS Large Cap Value I,HLQVX,8.50%,1.00%,9.50%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS Large Cap Growth I,SEEGX,12.00%,-2.50%,9.50%,08/24/2023
SS Tactical 100-0 Model,Developed Markets Equity,SS International Equity I,VSIEX,10.50%,-1.00%,9.50%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS US Equity I,JUESX,16.00%,2.50%,18.50%,08/24/2023
SS Tactical 100-0 Model,Cash,SS Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS Value Advantage I,JVASX,7.25%,0.00%,7.25%,08/24/2023
SS Tactical 100-0 Model,Emerging Markets Equity,SS Emerging Markets Equity I,JEMSX,7.50%,-1.00%,6.50%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS Growth Advantage I,JGASX,7.25%,0.00%,7.25%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
SS Tactical 100-0 Model,Emerging Markets Equity,SS Emerging Mkts Rsrch Enh Eq I,EMREX,3.50%,0.00%,3.50%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS BetaBuilders US Equity ETF,BBUS,8.00%,1.00%,9.00%,08/24/2023
SS Tactical 100-0 Model,Developed Markets Equity,SS BetaBuilders Intl Eq ETF,BBIN,3.75%,0.00%,3.75%,08/24/2023
SS Tactical 100-0 Model,U.S. Equity,SS BetaBuilders US Sml Cp Eq ETF,BBSC,1.50%,0.00%,1.50%,08/24/2023
SS Tactical 100-0 Model,Developed Markets Equity,SS International Rsrch Enh Eq ETF,JIRE,10.75%,0.00%,10.75%,08/24/2023
