Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Strategic 40-60 ETF/MF Model,U.S. Investment Grade,SS Core Bond I,WOBDX,19.10%,0.40%,19.50%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Equity,SS US Equity I,JUESX,11.90%,-0.30%,11.60%,07/06/2023
SS Strategic 40-60 ETF/MF Model,Emerging Markets Equity,SS Emerging Markets Equity I,JEMSX,2.00%,0.00%,2.00%,07/06/2023
SS Strategic 40-60 ETF/MF Model,Cash,SS US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Investment Grade,SS Core Plus Bond ETF,JCPB,19.70%,0.30%,20.00%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Investment Grade,SS BetaBuilders US Aggt Bond ETF,BBAG,19.20%,0.30%,19.50%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Equity,SS BetaBuilders US Equity ETF,BBUS,11.90%,-0.30%,11.60%,07/06/2023
SS Strategic 40-60 ETF/MF Model,Developed Markets Equity,SS BetaBuilders Intl Eq ETF,BBIN,10.00%,-0.30%,9.70%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Equity,SS BetaBuilders US Mid Cap Eq ETF,BBMC,2.80%,-0.10%,2.70%,07/06/2023
SS Strategic 40-60 ETF/MF Model,U.S. Equity,SS BetaBuilders US Sml Cp Eq ETF,BBSC,1.40%,0.00%,1.40%,07/06/2023
