Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Strategic 100-0 ETF Model,Cash,SS US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS BetaBuilders US Equity ETF,BBUS,43.30%,-2.40%,40.90%,07/06/2023
SS Strategic 100-0 ETF Model,Developed Markets Equity,SS BetaBuilders Intl Eq ETF,BBIN,24.50%,0.00%,24.50%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS BetaBuilders US Mid Cap Eq ETF,BBMC,6.90%,0.00%,6.90%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS BetaBuilders US Sml Cp Eq ETF,BBSC,3.40%,0.00%,3.40%,07/06/2023
SS Strategic 100-0 ETF Model,Emerging Markets Equity,SS ActiveBuilders EM Eq ETF,JEMA,4.90%,0.00%,4.90%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS Active Value ETF,JAVA,0.00%,8.70%,8.70%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS Active Growth ETF,JGRO,0.00%,8.70%,8.70%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS US Value Factor ETF,JVAL,5.00%,-5.00%,0.00%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS US Momentum Factor ETF,JMOM,5.00%,-5.00%,0.00%,07/06/2023
SS Strategic 100-0 ETF Model,U.S. Equity,SS US Quality Factor ETF,JQUA,5.00%,-5.00%,0.00%,07/06/2023
