Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 07/06/2023)
U.S. Equity,,,,,,51.80%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,32.60%,-1.80%,30.80%
JPMorgan Active Value ETF,JAVA,0.44%,Large Value,0.00%,6.60%,6.60%
Added,,,,,,
JPMorgan Active Growth ETF,JGRO,0.44%,Large Growth,0.00%,6.60%,6.60%
Added,,,,,,
JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,0.07%,Mid-Cap Blend,5.30%,-0.10%,5.20%
JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.09%,Small Blend,2.60%,,2.60%
JPMorgan US Value Factor ETF,JVAL,-,Large Value,4.00%,-4.00%,0.00%
Removed,,,,,,
JPMorgan US Momentum Factor ETF,JMOM,-,Large Growth,4.00%,-4.00%,0.00%
Removed,,,,,,
JPMorgan US Quality Factor ETF,JQUA,-,Large Blend,4.00%,-4.00%,0.00%
Removed,,,,,,
Developed Markets Equity,,,,,,18.50%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,18.70%,-0.20%,18.50%
Emerging Markets Equity,,,,,,3.70%
JPMorgan ActiveBuilders EM Eq ETF,JEMA,0.33%,Diversified Emerging Mkts,3.80%,-0.10%,3.70%
U.S. Investment Grade,,,,,,24.00%
JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,0.03%,Intermediate Core Bond,15.20%,0.60%,15.80%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,7.80%,0.40%,8.20%
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.14%,,,,
