Asset Class/ Investment,Ticker,Net Expense Ratio,Morningstar Category,Previous Allocation*,Change,Current
,,,,Allocation*,,(as of 07/06/2023)
U.S. Equity,,,,,,27.30%
JPMorgan BetaBuilders US Equity ETF,BBUS,0.02%,Large Blend,23.80%,-7.60%,16.20%
JPMorgan Active Value ETF,JAVA,0.44%,Large Value,0.00%,3.50%,3.50%
Added,,,,,,
JPMorgan Active Growth ETF,JGRO,0.44%,Large Growth,0.00%,3.50%,3.50%
Added,,,,,,
JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,0.07%,Mid-Cap Blend,2.80%,-0.10%,2.70%
JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.09%,Small Blend,1.40%,,1.40%
Developed Markets Equity,,,,,,9.70%
JPMorgan BetaBuilders Intl Eq ETF,BBIN,0.07%,Foreign Large Blend,10.00%,-0.30%,9.70%
Emerging Markets Equity,,,,,,2.00%
JPMorgan ActiveBuilders EM Eq ETF,JEMA,0.33%,Diversified Emerging Mkts,2.00%,,2.00%
U.S. Investment Grade,,,,,,59.00%
JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,0.03%,Intermediate Core Bond,38.30%,0.60%,38.90%
JPMorgan Core Plus Bond ETF,JCPB,0.40%,Intermediate Core-Plus Bond,19.70%,0.40%,20.10%
Cash,,,,,,2.00%
JPMorgan US Government MMkt Instl,IJGXX,0.21%,Money Market-Taxable,2.00%,,2.00%
TOTAL NET EXPENSE RATIO,,0.15%,,,,
